STATEFP,GEOID,NAME,CDP02_92E,OBJECTID,NCESID,STATEABBREV
17,1723050,Lincoln Community High School District 404,635,151,1723050,IL
17,1719080,Township High School District 113,2890,152,1719080,IL
17,1721780,Lake Forest Community High School District 115,1345,153,1721780,IL
17,1722830,Libertyville Community High School District 128,2645,154,1722830,IL
17,1727570,Mundelein Consolidated High School District 120,1735,155,1727570,IL
17,1732580,Adlai E. Stevenson High School District 125,3060,156,1732580,IL
17,1733510,Richmond-Burton Community High School District 157,740,157,1733510,IL
17,1740800,Warren Township High School District 121,3375,158,1740800,IL
17,1743890,Zion-Benton Township High School District 126,2035,159,1743890,IL
17,1727740,Nashville Community High School District 99,270,160,1727740,IL
17,1735190,Salem Community High School District 600,595,161,1735190,IL
17,1726180,Fairfield Community High School District 225,350,162,1726180,IL
17,1722950,Limestone Community High School District 310,760,163,1722950,IL
17,1704770,Central Community High School District 71,560,164,1704770,IL
17,1708370,Carbondale Community High School District 165,795,165,1708370,IL
17,1734380,Rock Falls Township High School District 301,465,166,1734380,IL
17,1704230,Armstrong Township High School District 225,50,167,1704230,IL
17,1733240,Rantoul Township High School District 193,825,168,1733240,IL
17,1737410,St. Joseph-Ogden Community High School District 305,425,169,1737410,IL
17,1724090,Maine Township High School District 207,4915,170,1724090,IL
17,1726880,J. Sterling Morton High School District 201,6795,171,1726880,IL
17,1728200,New Trier Township High School District 203,3175,172,1728200,IL
17,1728530,Niles Township Community High School District 219,3315,173,1728530,IL
17,1729010,Northfield Township High School District 225,3850,174,1729010,IL
17,1729220,Oak Lawn Community High School District 229,1325,175,1729220,IL
17,1729280,Oak Park and River Forest District 200,2355,176,1729280,IL
17,1730450,Township High School District 211,9990,177,1730450,IL
17,1732910,Proviso Township High School District 209,4090,178,1732910,IL
17,1733270,Reavis Township High School District 220,1515,179,1733270,IL
17,1733420,Rich Township High School District 227,2685,180,1733420,IL
17,1733720,Ridgewood Community High School District 234,640,181,1733720,IL
17,1734020,Riverside Brookfield Township School District 208,1475,182,1734020,IL
17,1738940,Thornton Fractional Township High School District 215,2765,183,1738940,IL
17,1738970,Thornton Township High School District 205,5420,184,1738970,IL
17,1730330,Ottawa Township High School District 140,1155,185,1730330,IL
17,1703780,Anna Jonesboro Community High School District 81,385,187,1703780,IL
17,1740290,Vienna High School District 133,220,188,1740290,IL
17,1725770,Metamora Township High School District 122,650,189,1725770,IL
17,1739870,United Township High School District 30,1185,190,1739870,IL
17,1726640,Morris Community High School District 101,635,191,1726640,IL
17,1716260,Gardner-South Wilmington Township High School District,135,192,1716260,IL
17,1735850,Seneca Township High School District 160,350,193,1735850,IL
17,1728260,Newark Community High School District 18,190,194,1728260,IL
17,1712870,Dwight Township High School District 230,175,195,1712870,IL
17,1706960,Bradley-Bourbonnais Consolidated High School District 307,1390,196,1706960,IL
17,1737140,St. Anne Community High School District 302,240,197,1737140,IL
17,1725320,McHenry Community High School District 156,2195,198,1725320,IL
17,1712570,Community High School District 99,4055,199,1712570,IL
17,1713940,DuPage High School District 88,2830,200,1713940,IL
17,1715030,Fenton Community High School District 100,1095,201,1715030,IL
17,1716830,Glenbard Township High School District 87,6340,202,1716830,IL
17,1721840,Lake Park Community High School District 108,2085,203,1721840,IL
17,1731620,Pinckneyville Community High School District 101,435,204,1731620,IL
17,1719620,Hononegah Community High School District 207,1630,205,1719620,IL
17,1724570,Marengo Community High School District 154,545,206,1724570,IL
17,1709300,Centralia High School District 200,695,207,1709300,IL
17,1727360,Mount Vernon Township High School District 201,975,208,1727360,IL
17,1709780,Chester Non-High School District 122,20,209,1709780,IL
17,1706420,Bloom Township High School District 206,2660,210,1706420,IL
17,1720610,Joliet Township High School District 204,4990,211,1720610,IL
17,1723070,Lincoln Way Community High School District 210,5285,212,1723070,IL
17,1723350,Lockport Township High School District 205,3030,213,1723350,IL
17,1726340,Minooka Community High School District 111,2030,214,1726340,IL
17,1718030,Hall High School District 502,225,215,1718030,IL
17,1722110,LaSalle-Peru Township High School District 120,925,216,1722110,IL
17,1701384,Illini West High School District 307,235,217,1701384,IL
17,1705640,Belleville Township High School District 201,3505,218,1705640,IL
17,1715840,Freeburg Community High School District 77,470,219,1715840,IL
17,1729790,O'Fallon Township High School District 203,1800,220,1729790,IL
17,1704020,Argo Community High School District 217,1410,221,1704020,IL
17,1704170,Township High School District 214,8685,222,1704170,IL
17,1706540,Community High School District 218,3710,223,1706540,IL
17,1707050,Bremen Community High School District 228,3900,224,1707050,IL
17,1708400,Consolidated High School District 230,5880,225,1708400,IL
17,1714490,Evanston Township High School District 202,2540,226,1714490,IL
17,1714580,Evergreen Park Community High School District 231,700,227,1714580,IL
17,1719320,Hinsdale Township High School District 86,3870,228,1719320,IL
17,1719560,Homewood-Flossmoor Community High School District 233,1985,229,1719560,IL
17,1722500,Lemont Township High School District 210,1105,230,1722500,IL
17,1722740,Leyden Community High School District 212,2540,231,1722740,IL
17,1723880,Lyons Township High School District 204,2795,232,1723880,IL
17,1703870,Antioch Community High School District 117,2165,233,1703870,IL
17,1711370,Community High School District 155,4955,234,1711370,IL
17,1717340,Grant Community High School District 124,1685,235,1717340,IL
17,1717550,Grayslake Community High School District 127,2170,236,1717550,IL
17,1712990,East Alton-Wood River Community High School District 14,335,238,1712990,IL
17,1705970,Benton Consolidated High School District 103,435,239,1705970,IL
17,1740440,Community High School District 94,1605,240,1740440,IL
17,1713230,East Peoria Community High School District 309,605,241,1713230,IL
17,1731110,Pekin Community High School District 303,1775,242,1731110,IL
17,1740980,Washington Community High School District 308,1050,243,1740980,IL
17,1700009,Pinckneyville School District 50,335,1165,1700009,IL
17,1700010,Beach Park Community Consolidated School District 3,1325,1166,1700010,IL
17,1700065,Saunemin Community Consolidated School District 438,80,1167,1700065,IL
17,1700119,North Shore School District 112,2915,1171,1700119,IL
17,1700222,Nippersink School District 2,795,1172,1700222,IL
17,1700330,Prairieview-Ogden Community Consolidated School District 197,205,1173,1700330,IL
17,1701419,Spring Garden Community Consolidated School District 178,155,1175,1701419,IL
17,1703150,Addison School District 4,2850,1176,1703150,IL
17,1703210,Akin Community Consolidated School District 91,30,1177,1703210,IL
17,1703270,Albers School District 63,115,1178,1703270,IL
17,1703420,Allen Township Community Consolidated School District 65,55,1179,1703420,IL
17,1703480,Alsip-Hazelgreen-Oaklawn School District 126,875,1180,1703480,IL
17,1703750,Anna Community Consolidated School District 37,495,1181,1703750,IL
17,1703840,Antioch Community Consolidated School District 34,2205,1182,1703840,IL
17,1703900,Aptakisic-Tripp Community Consolidated School District,1450,1183,1703900,IL
17,1703930,Arbor Park School District 145,765,1184,1703930,IL
17,1704050,Summit School District 104,1245,1185,1704050,IL
17,1704140,Arlington Heights School District 25,3155,1186,1704140,IL
17,1704340,Ashley Community Consolidated School District 15,125,1188,1704340,IL
